"condition","self_rating","external_rating"
"cannabis",3.33333333333333,11.1428571428571
"cannabis",5,8.9
"control",2.33333333333333,8.25
"control",3.33333333333333,7.91666666666667
"control",3.33333333333333,10.3333333333333
"cannabis",3,7.1
"control",4,10.5714285714286
"control",3,8
"cannabis",4.33333333333333,10.4444444444444
"cannabis",4,9.06
"cannabis",2.33333333333333,7.17857142857143
"cannabis",4.66666666666667,4.6
"cannabis",2,10.5
"cannabis",4.33333333333333,5
"control",4,10.1666666666667
"control",3.66666666666667,9
"control",3,8.91666666666667
"control",3.33333333333333,8.42857142857143
"cannabis",2.66666666666667,11.4285714285714
"control",3.66666666666667,7.53846153846154
"cannabis",4,8.1
"cannabis",2.33333333333333,11
"control",3.33333333333333,9
"cannabis",4,8.82352941176471
"control",3,9.08333333333333
"cannabis",3.33333333333333,7.18181818181818
"control",3,10.5
"control",2.33333333333333,9.6
"control",3.33333333333333,10.0416666666667
"cannabis",3,8.61538461538461
"control",4,7.4375
"cannabis",4,8.41666666666667
"cannabis",4.66666666666667,9.525
"cannabis",4,8.3
"control",4,8.34615384615385
"control",3.33333333333333,8.67857142857143
"control",4.33333333333333,6
"cannabis",3.66666666666667,7.90178571428571
"cannabis",3.33333333333333,6
"cannabis",5,6.84090909090909
"cannabis",3,8.45
"cannabis",5,5.71428571428571
"cannabis",2.33333333333333,8.03571428571429
"control",3,6.5
"cannabis",3.66666666666667,7.625
"cannabis",3.66666666666667,7.4
"cannabis",4,7.46428571428571
"cannabis",4.33333333333333,6.61538461538461
"cannabis",4.33333333333333,8.225
"cannabis",1.33333333333333,8.05555555555556
"cannabis",2.66666666666667,6.95833333333333
"cannabis",3.66666666666667,8.07142857142857
"control",2.66666666666667,6.9375
"control",4,6.69444444444444
"cannabis",3.66666666666667,8.5
"control",2,8.81818181818182
"control",3.33333333333333,7.53846153846154
"control",3.66666666666667,9.02380952380952
"control",3.33333333333333,8.67857142857143
"control",2,7.45
"cannabis",3,10.5
"cannabis",4,7.44736842105263
"cannabis",4.66666666666667,7.6
"cannabis",2.66666666666667,6
"control",3.33333333333333,6.55
"control",1.33333333333333,7.05
"cannabis",3,7.86363636363636
"control",3.66666666666667,7.92857142857143
"cannabis",3.33333333333333,9.10416666666667
"cannabis",4.66666666666667,7.8125
"control",4.33333333333333,7.28571428571429
"cannabis",3.33333333333333,7
"cannabis",3.66666666666667,8.34615384615385
"control",2.66666666666667,7.2
"control",2.66666666666667,6.55555555555556
"control",3.33333333333333,7
"cannabis",5,6.58333333333333
"cannabis",4,7.875
"control",3.33333333333333,8.5
"control",2.33333333333333,9.08333333333333
"cannabis",2.33333333333333,8.09090909090909
"control",3.33333333333333,8.59090909090909
"control",3.33333333333333,7.42857142857143
"control",1.33333333333333,9.33333333333333
"cannabis",2,10.1
"cannabis",4,9.4375
"cannabis",3,9.15
"cannabis",2.33333333333333,8.68181818181818
"cannabis",4,8.41666666666667
"control",2.66666666666667,8
"control",2.33333333333333,7.19230769230769
"control",3,8.66666666666667
"control",3,5.75
"cannabis",3,10.6315789473684
"control",4.33333333333333,10.2222222222222
"cannabis",3.33333333333333,7.25
"cannabis",3.33333333333333,8.375
"control",4,6.875
"cannabis",5,9.4
"cannabis",3.66666666666667,6.55
"control",2.66666666666667,7.88461538461539
"cannabis",2,6.2
"control",3.33333333333333,9.0625
"cannabis",3.33333333333333,5.25
"control",4,9.1
"cannabis",2.33333333333333,9.31818181818182
"cannabis",3.33333333333333,5.80769230769231
"cannabis",4,11.8
"cannabis",2,10.75
"cannabis",3.66666666666667,7.9
"cannabis",4.66666666666667,7.71875
"control",4,8.4
"control",1.66666666666667,8.90909090909091
"control",3,9.68181818181818
"control",2.33333333333333,9.875
"control",3,8.8
"control",4,9.1875
"control",3,9.125
"cannabis",3.66666666666667,11
"control",3.33333333333333,12
"cannabis",3.33333333333333,9.35294117647059
