Group,Matches
believer,5
believer,5
believer,5
believer,6
believer,6
believer,6
believer,6
believer,6
believer,7
believer,7
believer,7
believer,7
believer,7
believer,7
believer,7
believer,8
believer,8
believer,8
believer,8
believer,8
believer,8
believer,8
believer,8
believer,8
believer,8
believer,8
believer,8
believer,8
believer,8
believer,8
believer,9
believer,9
believer,9
believer,9
believer,9
believer,9
believer,9
believer,9
believer,9
believer,10
believer,10
believer,10
believer,10
believer,10
believer,10
believer,11
believer,11
believer,11
believer,11
believer,11
believer,11
believer,11
believer,11
believer,11
believer,11
believer,12
believer,12
believer,12
believer,12
believer,12
believer,12
believer,12
believer,12
believer,12
believer,12
believer,12
believer,12
believer,12
believer,12
believer,12
believer,12
believer,13
believer,13
believer,13
believer,13
believer,14
believer,14
believer,14
believer,14
believer,15
believer,15
believer,15
believer,15
believer,15
believer,15
believer,16
believer,18
skeptic,6
skeptic,6
skeptic,7
skeptic,7
skeptic,7
skeptic,7
skeptic,7
skeptic,8
skeptic,8
skeptic,8
skeptic,8
skeptic,8
skeptic,9
skeptic,9
skeptic,9
skeptic,9
skeptic,9
skeptic,9
skeptic,10
skeptic,10
skeptic,10
skeptic,10
skeptic,10
skeptic,10
skeptic,10
skeptic,10
skeptic,10
skeptic,10
skeptic,11
skeptic,11
skeptic,11
skeptic,11
skeptic,12
skeptic,12
skeptic,12
skeptic,12
skeptic,12
skeptic,13
skeptic,13
skeptic,13
skeptic,13
skeptic,14
skeptic,14
skeptic,15
