"name","rank","recruit_year","drafted","total_seasons"
"Cameron Tatum",96,2006,"No",NA
"Maurice Searight",92,2000,"No",NA
"Chey Christie",55,2001,"No",NA
"Lenny Cooke",25,2002,"No",NA
"Malik Hairston",9,2004,"Yes",2
"Jamie Skeen",50,2006,"No",NA
"Archie Goodwin",10,2012,"Yes",4
"Marco Killingsworth",53,2001,"No",NA
"Danrad Knowles",64,2012,"No",NA
"Katin Reinhardt",36,2012,"No",NA
"Quincy Pondexter",27,2006,"Yes",8
"Adam Haluska",74,2002,"Yes",NA
"Marcus Campbell",75,2001,"No",NA
"Renardo Sidney",7,2009,"No",NA
"James Anderson",28,2007,"Yes",6
"Nick Young",89,2004,"Yes",11
"Nik Caner-Medley",95,2002,"No",NA
"Emmanuel Negedu",43,2008,"No",NA
"Jared Sullinger",2,2010,"Yes",5
"Magnum Rolle",33,2005,"Yes",NA
"Donnavan Kirk",89,2009,"No",NA
"James Robinson",63,2012,"No",NA
"Pierre Pierce",32,2001,"No",NA
"JT Terrell",51,2010,"No",NA
"Richard Jefferson",33,1998,"Yes",17
"MoMo Jones",84,2009,"No",NA
"Dorell Wright",64,2003,"Yes",11
"Jason Maxiell",32,2001,"Yes",10
"Monta Ellis",2,2005,"Yes",12
"Terry Licorish",96,2001,"No",NA
"Phil Nelson",71,2006,"No",NA
"Ruben Douglas",43,1998,"No",NA
"Martin Iti",44,2003,"No",NA
"George Williams",30,1999,"No",NA
"William Buford",12,2008,"No",NA
"Daniel Bejarano",70,2010,"No",NA
"Josh Hairston",32,2010,"No",NA
"Marcus White",81,2002,"No",NA
"Jermaine Watson",86,2001,"No",NA
"Paris London",43,1998,"No",NA
"Mike Conley",21,2006,"Yes",11
"Hollis Thompson",76,2009,"No",4
"Marshawn Powell",72,2009,"No",NA
"Abdou Diame",17,2000,"No",NA
"Omari Isreal",89,2003,"No",NA
"Phil Pressey",41,2010,"No",3
"LaQuinton Ross",44,2011,"No",NA
"Brandan Wright",3,2006,"Yes",11
"Julian Vaughn",73,2007,"No",NA
"Al Harrington",1,1998,"Yes",16
"Brett Nelson",7,1999,"No",NA
"Najeeb Echols",58,2001,"No",NA
"Matt Derenbecker",85,2010,"No",NA
"Shawn Taggart",58,2005,"No",NA
"Yusuf Baker",75,2002,"No",NA
"Trae Golden",86,2010,"No",NA
"Chris Douglas-Roberts",41,2005,"Yes",7
"Levi Randolph",29,2011,"No",0
"Drew Gordon",29,2008,"No",1
"Jason Gardner",18,1999,"No",NA
"JaKarr Sampson",79,2012,"No",4
"Rodney Hood",27,2011,"Yes",4
"Travis Robinson",41,1998,"No",NA
"Jason Kapono",10,1999,"Yes",9
"Lonny Baxter",80,1998,"Yes",4
"Chris Singleton",14,2008,"Yes",3
"Brad Wanamaker",89,2007,"No",0
"Julius Randle",2,2013,"Yes",4
"Jordan McRae",40,2010,"Yes",3
"Tack Minor",37,2003,"No",NA
"Martynas Pocius",53,2005,"No",NA
"DeMar DeRozan",5,2008,"Yes",9
"Michael Young",85,2013,"No",0
"Angel Garcia",54,2008,"No",NA
"Nolan Dennis",41,2009,"No",NA
"John Riek",52,2008,"No",NA
"Luke Babbitt",19,2008,"Yes",8
"Greg Brown",80,2002,"No",NA
"Michael Carter-Williams",25,2011,"Yes",5
"Hassan Adams",20,2002,"Yes",3
"Tre'Shaun Fletcher",100,2013,"No",NA
"Al-Farouq Aminu",7,2008,"Yes",8
"Dennis Gates",92,1998,"No",NA
"Jay Williams",3,1999,"Yes",1
"Tahj Holden",75,1999,"No",NA
"Gary Flowers",86,2005,"No",NA
"Jon Kreft",51,2006,"No",NA
"Sylven Landesberg",33,2008,"No",NA
"Erik Copes",76,2011,"No",NA
"Sani Ibrahim",23,2002,"No",NA
"Hollis Price",53,1999,"No",NA
"Derrick Nix",88,2009,"No",NA
"Guillermo Diaz",68,2003,"Yes",1
"Sean Mosley",50,2008,"No",NA
"Julian Swartz",92,1999,"No",NA
"D.J. Augustin",29,2006,"Yes",10
"Arron Afflalo",26,2004,"Yes",11
"Bronson Koenig",79,2013,"No",0
"Kyle Washington",99,2013,"No",NA
"Bernard Robinson",67,2000,"Yes",3
