rain,treatment
1202.6,UNSEEDED
830.1,UNSEEDED
372.4,UNSEEDED
345.5,UNSEEDED
321.2,UNSEEDED
244.3,UNSEEDED
163,UNSEEDED
147.8,UNSEEDED
95,UNSEEDED
87,UNSEEDED
81.2,UNSEEDED
68.5,UNSEEDED
47.3,UNSEEDED
41.1,UNSEEDED
36.6,UNSEEDED
29,UNSEEDED
28.6,UNSEEDED
26.3,UNSEEDED
26.1,UNSEEDED
24.4,UNSEEDED
21.7,UNSEEDED
17.3,UNSEEDED
11.5,UNSEEDED
4.9,UNSEEDED
4.9,UNSEEDED
1,UNSEEDED
2745.6,SEEDED
1697.8,SEEDED
1656,SEEDED
978,SEEDED
703.4,SEEDED
489.1,SEEDED
430,SEEDED
334.1,SEEDED
302.8,SEEDED
274.7,SEEDED
274.7,SEEDED
255,SEEDED
242.5,SEEDED
200.7,SEEDED
198.6,SEEDED
129.6,SEEDED
119,SEEDED
118.3,SEEDED
115.3,SEEDED
92.4,SEEDED
40.6,SEEDED
32.7,SEEDED
31.4,SEEDED
17.5,SEEDED
7.7,SEEDED
4.1,SEEDED
